	Initial generation
Global best:  	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035 
Particle 13 	Position: (-2.6796, -2.2907) 	 | Velocity :(2.3204, 2.7093) 	 | Fitness: -17.512554
Particle 14 	Position: (-1.2806, -0.7449) 	 | Velocity :(0.6669, 1.8768) 	 | Fitness: -38.707325
Particle 15 	Position: (-1.5793, -1.5598) 	 | Velocity :(0.2399, 0.7437) 	 | Fitness: -45.070435
Particle 16 	Position: (-1.5511, -1.2303) 	 | Velocity :(-0.9276, 2.4468) 	 | Fitness: -44.640329
Particle 17 	Position: (-1.1696, 0.9084) 	 | Velocity :(0.3425, 3.6192) 	 | Fitness: -1.108002
Particle 18 	Position: (0.4941, -0.3904) 	 | Velocity :(3.8081, 1.8481) 	 | Fitness: 2.739422
Particle 19 	Position: (1.0814, 0.8552) 	 | Velocity :(4.4230, 3.5927) 	 | Fitness: 42.834204


Global best:  	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620 

Particles best: 

Particle 0 	Position: (-1.0749, -2.7597) 	 | Velocity :(1.0562, -3.4205) 	 | Fitness: -22.533134
Particle 1 	Position: (-1.4153, -1.3500) 	 | Velocity :(1.5244, -0.3873) 	 | Fitness: -45.265762
Particle 2 	Position: (-1.9316, -2.0780) 	 | Velocity :(-1.8462, -1.8228) 	 | Fitness: -37.193790
Particle 3 	Position: (-1.4006, 4.6327) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -26.136085
Particle 4 	Position: (-1.6445, -1.2470) 	 | Velocity :(-1.2633, 0.5019) 	 | Fitness: -44.373470
Particle 5 	Position: (-2.5037, -0.3823) 	 | Velocity :(-1.5944, 3.9733) 	 | Fitness: -17.799520
Particle 6 	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620
Particle 7 	Position: (-1.4652, -2.2688) 	 | Velocity :(-2.8965, 0.4163) 	 | Fitness: -36.720580
Particle 8 	Position: (-1.7394, -1.5615) 	 | Velocity :(-0.4339, 1.8674) 	 | Fitness: -44.181038
Particle 9 	Position: (-1.5012, -0.9930) 	 | Velocity :(0.0312, 1.7790) 	 | Fitness: -42.641619
Particle 10 	Position: (-1.1960, -0.9453) 	 | Velocity :(0.7714, 1.3463) 	 | Fitness: -41.207918
Particle 11 	Position: (-1.5225, -1.3559) 	 | Velocity :(0.9600, -3.7048) 	 | Fitness: -45.239224
Particle 12 	Position: (-1.5620, -1.1338) 	 | Velocity :(-0.1551, 0.6684) 	 | Fitness: -43.924274
Particle 13 	Position: (-1.3505, -1.2283) 	 | Velocity :(-5.1803, -4.5846) 	 | Fitness: -44.611247
Particle 14 	Position: (-1.4104, -1.7069) 	 | Velocity :(-0.6101, -1.7499) 	 | Fitness: -44.545013
Particle 15 	Position: (-1.5793, -1.5598) 	 | Velocity :(0.2399, 0.7437) 	 | Fitness: -45.070435
Particle 16 	Position: (-1.5033, -1.5213) 	 | Velocity :(1.5505, -4.1133) 	 | Fitness: -45.338075
Particle 17 	Position: (-1.1855, -0.8678) 	 | Velocity :(-0.1824, -2.7855) 	 | Fitness: -40.081683
Particle 18 	Position: (-1.2522, -2.2789) 	 | Velocity :(-5.5234, -3.4142) 	 | Fitness: -35.969739
Particle 19 	Position: (-0.6911, -1.8902) 	 | Velocity :(-4.6697, -3.2197) 	 | Fitness: -35.620255


	Generation:  6
Particle 0 	Position: (-1.8876, -0.0920) 	 | Velocity :(-0.9047, 2.9244) 	 | Fitness: -22.480535
Particle 1 	Position: (-0.2744, -1.7305) 	 | Velocity :(1.1409, -0.3805) 	 | Fitness: -28.387228
Particle 2 	Position: (-2.9466, -2.8360) 	 | Velocity :(0.1202, 0.1921) 	 | Fitness: 4.360319
Particle 3 	Position: (-1.3901, 2.0621) 	 | Velocity :(-0.0087, -1.9334) 	 | Fitness: 3.634202
